id,socAnx,worry,shame,imagery,obsessive
1,36,64,151,68,319
2,24,41,139.333333333333,73,158
3,106,78,179,104,421
4,42,37,146.666666666667,58,221
5,55,49,158,88,332
6,77,62,165,118,255
7,33,51,158.4,44,253
8,111,67,190,48,237
9,50,51,134.566666666667,77,214
10,83,62,166,72,292
11,102,66,212,78,407
12,116,65,199,78,350
13,57,48,127,57,291
14,12,63,189,99,308
15,45,52,129.066666666667,46,252
16,27,37,174,92,120
17,10,26,140,79,181
18,16,44,204,71,335
19,81,47,154.733333333333,88,208
20,79,32,137.5,101,264
21,119,48,207,110,224
22,37,41,138.6,71,198
23,51,35,129.066666666667,95,282
24,75,72,202,99,202
25,19,26,124,48,166
26,126,65,195,57,413
27,55,63,159,112,260
28,81,68,185,80,195
29,28,62,206,121,357
30,75,56,146.3,70,396
31,79.5,55,127,74,240
32,68,41,107.8,65,145
33,38,49,141,63,169
34,60,55,128,50,273
35,48,43,139.7,95,135
36,37,46,128,81,178
37,62,44,132.366666666667,74,192
38,88,75,192,110,378
39,60.5,27,125,62,117
40,39,44,221,159,175
41,106,64,137,56,273
42,29,37,149.6,98,262
43,36,54,203,100,284
44,67,39,122.466666666667,76,304
45,53,71,136,84,305
46,57,51,155.833333333333,45,262
47,24,31,127.966666666667,43,228
48,55,41,182,79,175
49,73,34,149,65,269
50,51,58,188,69,397
51,25,49,145.2,88,168
52,75,41,159.866666666667,78,338
53,91,50,209,80,343
54,73,47,133.1,97,187
55,52,57,139,42,215
56,44,44,157,96,289
57,62,45,145.933333333333,81,229
58,43,39,135,41,264
59,30,32,144,38,178
60,54,65,178,100,270
61,49, , ,58,107
62,107,49,145.933333333333,92,318
63,33,54,119,80,145
64,98,38,129,95,183
65,47,31,148,98,181
66,25,51,193,65,216
67,43,45,124,160,142
68,118,42,145.2,122,201
69,77,55,124,45,217
70,45,47,150,94,304
71,67,61,145,62,230
72,42,42,183,97,262
73,77,48,156.933333333333,78,270
74,55,50,132.733333333333,109,248
75,45,41,134.2,100,260
76,68,79,219,95,374
77,51,40,134,48,136
78,55,43,138.966666666667,107,228
79,34,66,152,66,324
80,42,46,178.566666666667,95,300
81,37,31,189,79,172
82,39,47,192,59,249
83,60, , ,99, 
84,89,68,149,82,337
85,62,50,185,43,346
86,70,41,139.7,90,247
87,37,39,192, ,185
88,29,42,109.633333333333,88,183
89,63,35,211,75,119
90,72,43,134,81,229
91,60,5,0,126,283
92,25,32, ,45,283
93,-8,74,223,46,306
94,100,43,176,71,213
95,60,36,127.6,66,276
96,56,46,149.233333333333,85,313
97,63,47,136.4,85,271
98,7,40,122,87,160
99,25,40,136,96,126
100,32,77,210,70,336
101,26,43,185,42,262
102,110,38,192,88, 
103,26, , ,94, 
104,33,72,148, ,350
105,67,50,129.8,66,196
106,57.5,65,117,64,227
107,46,43,134,61,261
108,105,62,187,75,328
109,58,23,89,34,147
110,-9,45,137.5,65,299
111,34,36,141.533333333333,53,120
112,50,45,144.1,63,219
113,76,50,133,66,265
114,53,43,142,64,225
115,47,63, ,123,276
116,41,32,171,104,124
117,33,44,125,70,159
118,57,73,144,0,284
119,47.5, , ,63,101
120,32,42,140,61, 
121,78,55,152.166666666667,73,290
122,85,37,121,76,124
123,61,35,129.433333333333,83,210
124,88,58,142,98,196
125,55,50,182,78,231
126,59,45,124.666666666667,80,192
127,63,53,142,81,114
128,59,43,126.866666666667,38,260
129,27,55,144.833333333333,80,227
130,75,50,134.933333333333,97,346
131,37, , , ,243
132,31,51,131,43,168
133,66,69,196, ,347
134,31,44,132,67,151
135,64,50,136.766666666667,85,264
136,71,45,195,87,265
137,87,72,147,79,315
138,65,50,126.866666666667,72,223
139,40,64,144,69,263
140,54,49,138,115,274
141,52,47,140,54,258
142,29,59,129,53,185
143,53,41,142.266666666667,90,229
144,56,46,137.866666666667,86,116
145,48,71,142,46,274
146,50,42,127,77, 
147,76,51,170,43,184
148,37.5,32,122,49, 
149,38,49,141,71,234
150,-3,35,188,76,151
151,41,29,120,101,126
152,91,60,139.7,75,320
153,63,51,178,34,362
154,57,55,147,39,277
155,97,61,140,84,170
156,69,63,145,57,239
157,36,36,138.966666666667,89,159
158,83,58,138.6,62,212
159,84,45,147.033333333333,90,524
160,65,48,128.7,77,189
161,53,47,162.433333333333,46,155
162,39,52,141.166666666667,51,201
163,30,52,118,73,137
